text,label
"PROVINSI ACEH
KOTA BANDA ACEH
NIK
2792377005820003
Nama
TANIA ZULAIKA
TempatTgl Lahır
BANDAACEH, 12-03-2030
Jenıs Kelamın
PEREMPUAN
Gol Darah
: A
Alamat
JL. TERMINAL LAMA NO. 35
RTRW
003
008
KelDesa
PEUNITI
Kecamatan
BAITURRAHMAN
Agama
ISLAM
Status Perkawinan: KAWIN
KOTA BANDA ACEH
Pekerjaan
KARYAWAN
31-08-2017
Kewarganegaraan: WNI
Berlaku Hıngga
SEUMUR HIDUP",KTP
"PROVINSI SULAWESI SELATAN
KOTA MAKASSAR
NIK
2792377005820003
Nama
CATURANGGA SAIFUL MARBUN
Tempat Tgl Lahır
MAKASSAR;, 12-03-2030
Jenıs Kelamın
LAKI-LAKI
Gol Darah
Alamat
JL. PENGAYOMAN
RTRW
003
008
KeliDesa
TAMAMAUNG
Kecamatan
PANAKKUKANG
Agama
ISLAM
Status Perkawinan: KAWIN
KOTA MAKASSAR
Pekerjaan
KARYAWAN
31-08-2017
Kewarganegaraan: WNI
Berlaku Hıngga
SEUMUR HIDUP
:A",KTP
"PROVINSI DAERAH ISTIMEWA YOGYAKARTA
KOTA YOGYAKARTA
NIK
2792377005820003
Nama
CINTA SUARTINI
TempatTgl Lahır
YOGYAKARTA,
12-03-2030
Jenıs Kelamın
PEREMPUAN
Gol Darah
: A
Alamat
JL. LINGKAR SELATAN NO
101
RTRW
003
008
KelDesa
PANEMBAHAN
Kecamatan
KRATON
Agama
ISLAM
Status Perkawinan: KAWIN
KOTA YOGYAKARTA
Pekerjaan
KARYAWAN
31-08-2017
Kewarganegaraan: WNI
Berlaku Hıngga
SEUMUR HIDUP",KTP
"PROVINSI PAPUA
KOTA JAYAPURA
NIK
2792377005820003
Nama
TUGIMAN HALIM
Tempat Tgl Lahır
JAYAPURA,
12-03-2030
Jenıs Kelamın
LAKI-LAKI
Gol Darah
Alamat
JL. TANJUNG RIA NO
4
RTRW
003
008
KelDesa
KOTA BARU
Kecamatan
ABEPURA
Agama
ISLAM
Status Perkawinan: KAWIN
KOTA JAYAPURA
Pekerjaan
KARYAWAN
31-08-2017
Kewarganegaraan: WNI
Berlaku Hıngga
SEUMUR HIDUP
: A",KTP
"PROVINSI BALI
KOTA DENPASAR
NIK
2792377005820003
Nama
WAYAN ARDHA
TempatTgl Lahır
DENPASAR, 12-03-2030
Jenıs Kelamın
LAKI-LAKI
Gol Darah
: A
Alamat
JL. DANAU TAMBLINGAN NO. 87
RTRW
003
008
KeliDesa
SANUR
Kecamatan
DENPASAR SELATAN
Agama
ISLAM
Status Perkawinan: KAWIN
KOTA DENPASAR
Pekerjaan
KARYAWAN
31-08-2017
Kewarganegaraan: WNI
Berlaku Hıngga
SEUMUR HIDUP",KTP
"PROVINSI SULAWESI TENGAH
KOTA PALU
NIK
2792377005820003
Nama
CAGAK MAHESWARA
TempatTgl Lahır
KOYA, 12-03-2030
Jenıs Kelamın
LAKI-LAKI
Gol Darah
A
5 =
Alamat
JL. LAGARUTU NO. 12
RTRW
003
008
KelDesa
KAWATUNA
Kecamatan
MANTIKULORE
Agama
HINDU
Status Perkawinan: KAWIN
KOTA PALU
Pekerjaan
KARYAWAN
31-08-2017
Kewarganegaraan: WNI
Berlaku Hıngga
SEUMUR HIDUP",KTP
"PROVINSI SULAWESI TENGAH
KOTA PALU
NIK
2792377005820003
Nama
TIRA TITI FUJIATI
Tempat Tgl Lahır
BAJO, 12-03-2030
Jenıs Kelamın
PEREMPUAN
Gol Darah
: A
Alamat
JL. JENDERAL SUDIRMAN NO. 44
RTRW
003
008
KelDesa
KAWATUNA
Kecamatan
MANTIKULORE
Agama
ISLAM
Status Perkawinan: KAWIN
KOTA PALU
Pekerjaan
KARYAWAN
31-08-2017
Kewarganegaraan: WNI
Berlaku Hıngga
SEUMUR HIDUP",KTP
"PROVINSI SUMATERA UTARA
KOTA MEDAN
NIK
2792377005820003
Nama
JUSPAYANTI
TempatTgl Lahır
MEDAN, 12-03-2030
Jenıs Kelamın
PEREMPUAN
Gol Darah
: A
Alamat
JL. PERINTIS KEMERDEKAAN NO. 14
RTRW
003 / 008
KelDesa
BINJAI
Kecamatan
MEDAN DENAI
Agama
ISLAM
Status Perkawinan: KAWIN
KOTA MEDAN
Pekerjaan
KARYAWAN
31-08-2017
Kewarganegaraan: WNI
Berlaku Hıngga
SEUMUR HIDUP",KTP
"PROVINSI ACEH
KOTA BANDA ACEH
NIK
2792377005820003
Nama
ELLIS IKA RAHAYU
TempatTgl Lahır
BANDAACEH,. 12-03-2030
Jenıs Kelamın
PEREMPUAN
Gol Darah
Alamat
JL. PROF. MOH. HASAN NO. 36
RTRW
003
008
KevDesa
PEUNITI
Kecamatan
BAITURRAHMAN
Agama
ISLAM
Status Perkawinan: KAWIN
KOTA BANDA ACEH
Pekerjaan
KARYAWAN
31-08-2017
Kewarganegaraan: WNI
Berlaku Hıngga
SEUMUR HIDUP
: A",KTP
"PROVINSI DKI JAKARTA
JAKARTA PUSAT
NIK
2792377005820003
Nama
BELINDA NALA
TempatTgl Lahır
JAKARTA
12-03-2030
Jenıs Kelamın
PEREMPUAN
Gol Darah
: A
Alamat
JL. PINGGIR DERMAGA NO. 6
RTRW
003
008
KeliDesa
GELORA
Kecamatan
TANAH ABANG
Agama
ISLAM
Status Perkawinan: KAWIN
JAKARTA PUSAT
Pekerjaan
KARYAWAN
31-08-2017
Kewarganegaraan: WNI
Berlaku Hıngga
SEUMUR HIDUP",KTP
