text,label
"INDONESIA DRIVING LICENSE SURAT IZIN MENGEMUDI C 7322-6335-11399 1. JONO MAULANA 2. MEDAN, 12-03-2030 3. A - PRIA 4. JL. THAMRIN NO. 30 BINJAI, MEDAN DENAI KOTA MEDAN 5. KARYAWAN 6. SUMUT 31-08-2045",SIM
"INDONESIA DRIVING LICENSE SURAT IZIN MENGEMUDI B 4464-2514-73414 1. HADI SIREGAR 2. BALIKPAPAN, 12-03-2030 3. A - PRIA 4. JL. KLAMONO NO. 18 LAMARU, BALIKPAPAN TIMUR KOTA BALIKPAPAN 5. KARYAWAN 6. KALTIM 31-08-2045",SIM
"INDONESIA DRIVING LICENSE SURAT IZIN MENGEMUDI C 4742-4601-75770 1. CAWUK RAMADAN 2. SURABAYA, 12-03-2030 3. A - PRIA 4. JL. RAYA MANYAR KERTOARJO ROMOKALISARI, BENOWO KOTA SURABAYA 5. KARYAWAN 6. JATIM 31-08-2045",SIM
"INDONESIA DRIVING LICENSE SURAT IZIN MENGEMUDI A 6220-9521-62921 1. LALITA TANIA 2. JAKARTA, 12-03-2030 3. A - WANITA 4. JL. JENDERAL BASUKI RAHMAT NO. 11 GELORA, TANAH ABANG JAKARTA PUSAT 5. KARYAWAN 6. METRO JAYA 31-08-2045",SIM
"INDONESIA DRIVING LICENSE SURAT IZIN MENGEMUDI A 3282-6749-78139 1. ENDRA KARIMAN 2. JAKARTA, 12-03-2030 3. A - PRIA 4. JL. RAYA CASABLANCA NO. 8 KALIBATA, PANCORAN JAKARTA SELATAN 5. KARYAWAN 6. METRO JAYA 31-08-2045",SIM
"INDONESIA DRIVING LICENSE SURAT IZIN MENGEMUDI A 5828-8429-55730 1. YANI WIDIASTUTI BACHTIAR 2. JAYAPURA, 12-03-2030 3. A - WANITA 4. JL. RAYA MANDALA NO. 75 KOTA BARU, ABEPURA KOTA JAYAPURA 5. KARYAWAN 6. PAPUA 31-08-2045",SIM
"INDONESIA DRIVING LICENSE SURAT IZIN MENGEMUDI A 8513-1818-46435 1. RINA PUSPASARI 2. BALIKPAPAN 12-03-2030 3. A - WANITA 4. JL. DAHLIA NO. 51 LAMARU, BALIKPAPAN TIMUR KOTA BALIKPAPAN 5. KARYAWAN 6. KALTIM 31-08-2045",SIM
"INDONESIA DRIVING LICENSE SURAT IZIN MENGEMUDI C 2303-9074-77963 1. ZALINDRA MARDHIYAH 2. PONTIANAK, 12-03-2030 3. A - WANITA 4. JL. SINGKAWANG NO. 46 SAIGON, PONTIANAK TIMUR KOTA PONTIANAK 5. KARYAWAN 6. KALBAR 31-08-2045",SIM
"INDONESIA DRIVING LICENSE SURAT IZIN MENGEMUDI C 8068-8508-94702 1. PARDI CAPA PANGESTU 2. MEDAN, 12-03-2030 3. A - PRIA 4. JL. MADONG LUBIS NO. 69A BINJAI, MEDAN DENAI KOTA MEDAN 5. KARYAWAN 6. SUMUT 31-08-2045",SIM
"INDONESIA DRIVING LICENSE SURAT IZIN MENGEMUDI C 7915-2156-92493 1. DARIJAN PRAKASA 2. MEDAN, 12-03-2030 3. A - PRIA 4. JL. SOEKARNO HATTA NO. 14 BINJAI, MEDAN DENAI KOTA MEDAN 5. KARYAWAN 6. SUMUT 31-08-2045 ",SIM
