text,label
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
C
1927-0708-12345
1 .
JONO MAULANA
2,
MEDAN, 12-03-2030
3 ,
A
PRIA
4.
JL. THAMRIN NO. 30
BINJAI, MEDAN DENAI
KOTA MEDAN
5 .
KARYAWAN
6.
SUMUT
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
B
1927-0708-12345
1 .
HADI SIREGAR
2,
BALIKPAPAN, 12-03-2030
3 .
A
PRIA
4
JL. KLAMONO NO
18
LAMARU, BALIKPAPAN TIMUR
KOTA BALIKPAPAN
5 .
KARYAWAN
6.
KALTIM
9
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
C
1927-0708-12345
1 .
CAWUK RAMADAN
2. SURABAYA, 12-03-2030
3 ,
A
PRIA
4.
JL. RAYA MANYAR KERTOARJO
ROMOKALISARI, BENOWO
KOTA SURABAYA
5 .
KARYAWAN
6.
JATIM
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
A
1927-0708-12345
1 .
LALITA TANIA
2,
JAKARTA, 12-03-2030
3 .
A
WANITA
4.
JL. JENDERAL BASUKI RAHMAT NO-
11
GELORA,
TANAH ABANG
JAKARTA PUSAT
5 .
KARYAWAN
6.
METRO JAYA
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
A
1927-0708-12345
1 .
ENDRA KARIMAN
2,
JAKARTA, 12-03-2030
3 .
A
PRIA
4
JL. RAYA CASABLANCA NO_
8
KALIBATA, PANCORAN
JAKARTA SELATAN
5.
KARYAWAN
6.
METRO JAYA
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
A
1927-0708-12345
1 .
YANI WIDIASTUTI BACHTIAR
2,
JAYAPURA, 12-03-2030
3 .
A
WANITA
4.
JL. RAYA MANDALA NO. 75
KOTA BARU, ABEPURA
KOTA JAYAPURA
5 .
KARYAWAN
6.
PAPUA
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
A
1927-0708-12345
1 .
RINA PUSPASARI
2,
BALIKPAPAN
12-03-2030
3.
A
WANITA
4
JL. DAHLIA NO
51
LAMARU, BALIKPAPAN TIMUR
KOTA BALIKPAPAN
5 .
KARYAWAN
6.
KALTIM
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
C
1927-0708-12345
1 .
ZALINDRA MARDHIYAH
2,
PONTIANAK, 12-03-2030
3 ,
A
WANITA
4.
JL. SINGKAWANG NO. 46
SAIGON, PONTIANAK TIMUR
KOTA PONTIANAK
5 .
KARYAWAN
6.
KALBAR
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
C
1927-0708-12345
1 .
PARDI CAPA PANGESTU
2,
MEDAN, 12-03-2030
3 ,
A
PRIA
4
JL. MADONG LUBIS NO. 69A
BINJAI, MEDAN DENAI
KOTA MEDAN
X
5 .
KARYAWAN
6.
SUMUT
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
C
1927-0708-12345
1 .
DARIJAN PRAKASA
2,
MEDAN, 12-03-2030
3.
A
PRIA
2€
4.
JL. SOEKARNO HATTA NO. 14
BINJAI, MEDAN DENAI
KOTA MEDAN
5 .
KARYAWAN
6.
SUMUT
31-08-2045
4x",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
B
1927-0708-12345
1 .
KAMILA DIAN NASYIDAH
2,
BANDUNG, 12-03-2030
3 .
A
WANITA
4.
JL. TAMANSARI NO. 19
CIBADAK, ASTANA ANYAR
KOTA BANDUNG
5 .
KARYAWAN
6.
JABAR
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
A
1927-0708-12345
1 .
RATNA OKTAVIANA
2,
PONTIANAK, 12-03-2030
3 ,
A
WANITA
4
JL. AHMAD YANI NO. 89
SAIGON, PONTIANAK TIMUR
4
4
KOTA PONTIANAK
5.
KARYAWAN
6.
KALBAR
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
C
1927-0708-12345
1 .
MUH. LUTHFI
2. JAKARTA, 12-03-2030
3 .
A
PRIA
5
4
JL. MEDAN MERDEKA BARAT NO
17
JATINEGARA,
CAKUNG
JAKARTA TIMUR
5.
KARYAWAN
6.
METRO JAYA
4 €
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
C
1927-0708-12345
1 .
NURUL MAGHFIRA
2. SURABAYA, 12-03-2030
3 ,
A
WANITA
4.
JL. PUTAT JAYA NO.
12
ROMOKALISARI, BENOWO
KOTA SURABAYA
5 .
KARYAWAN
6.
JATIM
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
B
1927-0708-12345
1 .
AMI LATIKA
2.
JAYAPURA, 12-03-2030
3.
A
WANITA
4.
JL. RAYA ABEPURA NO. 92
KOTA BARU, ABEPURA
KOTA JAYAPURA
5 .
KARYAWAN
6.
PAPUA
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
A
1927-0708-12345
1
DALIMIN WACANA
2,
JAKARTA, 12-03-2030
3 ,
A
PRIA
4.
JL. CILINCING BAKTI NO. 21
GELORA, TANAH ABANG
JAKARTA PUSAT
5.
KARYAWAN
6.
METRO JAYA
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
C
1927-0708-12345
1 .
UNGGUL FIRMANSYAH
2,
MAKASSAR, 12-03-2030
3.
A
PRIA
4 
JL. RANGGONG NO
13
TAMAMAUNG, PANAKUKANG
KOTA MAKASSAR
5 .
KARYAWAN
6.
SULSEL
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN
MENGEMUDI
A
1927-0708-12345
1 .
ANDI JAGA FIRMAN
2.
BANDA ACEH, 12-03-2030
3.
A
PRIA
4.
JL. PRADA UTAMA NO
7
PEUNITI, BAITURRAHMAN
KOTA BANDA ACEH
5.
KARYAWAN
6.
ACEH
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
C
1927-0708-12345
1 .
JAMAL EDI ISWAHYUDI
2,
SURABAYA, 12-03-2030
3 ,
A
PRIA
4.
JL. KALIWARON NO. 24
ROMOKALISARI, BENOWO
KOTA SURABAYA
5 .
KARYAWAN
6.
JATIM
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN
MENGEMUDI
C
1927-0708-12345
1
ALIKA HARYANTI
2.
TAPAK TUAN, 12-03-2030
3.
A
WANITA
4.
JL. NYAK ARIF LAMNYONG NO. 29
PEUNITI, BAITURRAHMAN
KOTA BANDA ACEH
5 .
KARYAWAN
6.
ACEH
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
C
1927-0708-12345
1 .
AGNES PUPUT MULYANI
2.
MALANG, 12-03-2030
3 .
A
WANITA
4.
JL. BUKIT DIENG BLOK MG NO_
2
GADINGASRI, KLOJEN
KOTA MALANG
5 .
KARYAWAN
6.
JATIM
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
B
1927-0708-12345
1
OKTA ADRIANSYAH
2.
BALIKPAPAN
12-03-2030
3.
A
PRIA
4
JL. JENDERAL AHMAD YANI NO_
5
LAMARU, BALIKPAPAN TIMUR
KOTA BALIKPAPAN
5 .
KARYAWAN
6.
KALTIM
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
A
1927-0708-12345
1 .
AHMAD SUGIANTO
2,
JAKARTA, 12-03-2030
3 .
A
PRIA
4
JL. MUNDU NO
14
KALIBATA, PANCORAN
JAKARTA SELATAN
5.
KARYAWAN
6.
METRO JAYA
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
A
1927-0708-12345
1 .
CECEP UMAR
2,
PONTIANAK, 12-03-2030
3 .
A
PRIA
4.
JL. PELITA NO.
4
SAIGON, PONTIANAK TIMUR
KOTA PONTIANAK
5 .
KARYAWAN
6.
KALBAR
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
A
1927-0708-12345
1 .
NADINE PASKALINE
2,
JAKARTA, 12-03-2030
3 ,
A
WANITA
4
JL. PONDO ARUM NO
37
JATIUWUNG, CIBODAS
KOTA TANGERANG
5 .
KARYAWAN
6.
BANTEN
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
C
1927-0708-12345
1 .
UNJANI SAFITRI
2.
MEDAN, 12-03-2030
3.
A
WANITA
4 .
JL. RAWA NO
15
BINJAI, MEDAN DENAI
KOTA MEDAN
5 .
KARYAWAN
6.
SUMUT
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
C
1927-0708-12345
1 .
STEFANIE FRANSISKA
2,
YOGYAKARTA, 12-03-2030
3.
A
WANITA
4.
JL. SASTROWIJAYAN NO. 34
PANEMBAHAN, KRATON
KOTA YOGYAKARTA
5 .
KARYAWAN
6.
DIY
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
C
1927-0708-12345
1 .
GALAR DIRJA WASKITA
2,
MEDAN, 12-03-2030
3.
A
PRIA
4
JL. H. MISBAH NO
2
BINJAI, MEDAN DENAI
KOTA MEDAN
5 .
KARYAWAN
6.
SUMUT
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
C
1927-0708-12345
1 .
HENDRI SAEFULLAH
2,
MAKASSAR; 12-03-2030
3 ,
A
PRIA
4.
JL. TAMAN MAKAM PAHLAWAN NO
2
TAMAMAUNG,
PANAKUKANG
KOTA MAKASSAR
5 .
KARYAWAN
2)
6.
SULSEL
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
C
1927-0708-12345
1 .
PUTRI ANA AMELIA
2,
SURABAYA, 12-03-2030
3 .
A
WANITA
4.
JL. NGAGEL JAYA SELATAN NO. 4
ROMOKALISARI, BENOWO
KOTA SURABAYA
5 .
KARYAWAN
6.
JATIM
31-08-2045",SIM
"INDONESIA
DRNING LICENSE
SURAT IZIN MENıEMUDI
B
1927-0708-12345
1 .
TUGIMAN HALIM
2,
JAYAPURA, 12-03-2030
3 .
A
PRIA
4.
JL. TANJUNG RIA NO
4
KOTA BARU, ABEPURA
KOTA JAYAPURA
5 .
KARYAWAN
6.
PAPUA
31-08-2045
2",SIM
